[ 2025-09-04 14:19:51 | INFO: ] CLI header printed successfully
[ 2025-09-04 15:14:34 | INFO: ] LogSys created successfully
[ 2025-09-04 15:14:35 | INFO: ] Config loaded successfully from: config.json
[ 2025-09-04 15:14:35 | INFO: ] Starting File Descriptor
[ 2025-09-04 15:14:35 | INFO: ] Task Queue created
[ 2025-09-04 15:14:35 | INFO: ] Created 16 worker threads
[ 2025-09-04 15:14:35 | INFO: ] Pool created
[ 2025-09-04 15:14:35 | INFO: ] Created CLI successfully
[ 2025-09-04 15:14:35 | INFO: ] Entering main loop
[ 2025-09-04 15:14:35 | INFO: ] WebSocket Handler created successfully
[ 2025-09-04 15:14:35 | INFO: ] CLI header printed successfully
